600,Time (s),0.171,0.316,0.114,0.154,0.122,0.117
,PAPI_L1_DCM,64378802,61329391,64469411,43479268,61326205,61298393
,PAPI_L1_ICM,4438,4404,4369,3639,4126,4418
,PAPI_L1_TCM,64383240,61333795,64473780,43482907,61330331,61302811
,PAPI_L2_DCM,8689819,6933500,8735477,5322139,6927239,6918484
,PAPI_L2_ICM,3072,2793,2816,2184,2574,2768
,PAPI_L2_TCM,8692891,6936293,8738293,5324323,6929813,6921252
,PAPI_L3_DCA,8689819,6933500,8735477,5322139,6927239,6918484
,PAPI_L3_ICA,3072,2793,2816,2184,2574,2768
,PAPI_TOT_INS,385284817,384549454,381104893,383184788,383783421,381178276
,,,,
,,,,
1000,Time (s),0.437,0.598,0.461,0.913,0.451,0.444
,PAPI_L1_DCM,279651569,283002637,282995776,283012843,126724831,282999660
,PAPI_L1_ICM,5376,5714,5353,5840,4022,5499
,PAPI_L1_TCM,279656945,283008351,283001129,283018683,126728853,283005159
,PAPI_L2_DCM,30876957,31510800,31540018,31524039,15443141,31550763
,PAPI_L2_ICM,3767,4217,3718,4260,2571,3909
,PAPI_L2_TCM,30880724,31515017,31543736,31528299,15445712,31554672
,PAPI_L3_DCA,30876957,31510800,31540018,31524039,15443141,31550763
,PAPI_L3_ICA,3767,4217,3718,4260,2571,3909
,PAPI_TOT_INS,1761461000,1762313100,1760487875,1762231952,1759985501,1760487924
,,,,
,,,,
1400,Time (s),1.338,1.308,1.317,1.339,1.303,1.324
,PAPI_L1_DCM,775274990,774787941,775340064,774788679,775300265,775267460
,PAPI_L1_ICM,7055,6645,6920,6558,6419,9047
,PAPI_L1_TCM,775282045,774794586,775346984,774795237,775306684,775276507
,PAPI_L2_DCM,86457633,86432363,86408059,86426020,86414801,86454166
,PAPI_L2_ICM,5376,5031,5266,5024,4940,7371
,PAPI_L2_TCM,86463009,86437394,86413325,86431044,86419741,86461537
,PAPI_L3_DCA,86457633,86432363,86408059,86426020,86414801,86454166
,PAPI_L3_ICA,5376,5031,5266,5024,4940,7371
,PAPI_TOT_INS,4820431545,4818354159,4820431885,4820431706,4820432088,4818358934
,,,,
,,,,
1800,Time (s),2.772,2.770,2.785,2.738,2.744,2.739
,PAPI_L1_DCM,1648770423,1649034165,1646671109,1648307764,1648234370,1647798218
,PAPI_L1_ICM,8934,9249,9257,9069,9248,8777
,PAPI_L1_TCM,1648779357,1649043414,1646680366,1648316833,1648243618,1647806995
,PAPI_L2_DCM,185185887,185150685,184750341,185101476,185108123,184799809
,PAPI_L2_ICM,7386,7618,7635,7496,7813,7242
,PAPI_L2_TCM,185193273,185158303,184757976,185108972,185115936,184807051
,PAPI_L3_DCA,185185887,185150685,184750341,185101476,185108123,184799809
,PAPI_L3_ICA,7386,7618,7635,7496,7813,7242
,PAPI_TOT_INS,10232925860,10232934656,10232937322,10235016392,10235016248,10235016345
,,,,
,,,,
2200,Time (s),5.244,5.275,5.302,5.299,5.209,5.208
,PAPI_L1_DCM,3004596388,3003787560,3003949449,3003807153,3003488796,3002869800
,PAPI_L1_ICM,14544,12254,14122,13893,14129,12803
,PAPI_L1_TCM,3004610932,3003799814,3003963571,3003821046,3003502925,3002882603
,PAPI_L2_DCM,336440671,337299516,336476967,336287047,336347093,336327726
,PAPI_L2_ICM,12554,10708,12171,12419,12325,11068
,PAPI_L2_TCM,336453225,337310224,336489138,336299466,336359418,336338794
,PAPI_L3_DCA,336440671,337299516,336476967,336287047,336347093,336327726
,PAPI_L3_ICA,12554,10708,12171,12419,12325,11068
,PAPI_TOT_INS,18676240336,18675823916,18677588322,18677610832,18676070549,18676261103
,,,,
,,,,
2600,Time (s),9.298,8.953,8.513,8.700,8.477,8.523
,PAPI_L1_DCM,4955112407,4956298824,4956359930,4957249624,4954489031,4954380796
,PAPI_L1_ICM,17852,17758,17141,20798,17439,16865
,PAPI_L1_TCM,4955130259,4956316582,4956377071,4957270422,4954506470,4954397661
,PAPI_L2_DCM,559556405,558070070,559133812,560894425,557259605,568577070
,PAPI_L2_ICM,16155,16028,15274,18556,15698,15185
,PAPI_L2_TCM,559572560,558086098,559149086,560912981,557275303,568592255
,PAPI_L3_DCA,559556405,558070070,559133812,560894425,557259605,568577070
,PAPI_L3_ICA,16155,16028,15274,18556,15698,15185
,PAPI_TOT_INS,30816126713,30814023416,30816051913,30816105162,30814025868,30814025767
,,,,
,,,,
3000,Time (s),13.149,13.852,13.067,13.193,13.638,19.120
,PAPI_L1_DCM,7610963958,7612460119,7610800192,7610915090,7612324475,7610956484
,PAPI_L1_ICM,26169,24446,23521,24158,23017,33044
,PAPI_L1_TCM,7610990127,7612484565,7610823713,7610939248,7612347492,7610989528
,PAPI_L2_DCM,932341680,877700007,927949087,898763203,878927965,942105715
,PAPI_L2_ICM,24313,22560,21821,22296,21388,31504
,PAPI_L2_TCM,932365993,877722567,927970908,898785499,878949353,942137219
,PAPI_L3_DCA,932341680,877700007,927949087,898763203,878927965,942105715
,PAPI_L3_ICA,24313,22560,21821,22296,21388,31504
,PAPI_TOT_INS,47326630762,47326610301,47326609704,47327431880,47326609699,47328371131
,,,,
,,,,
