600,Time (s),0.088,0.079,0.079,0.079,0.081,0.079
,PAPI_L1_DCM,27238099,27238016,27237649,27237650,27237336,27238308
,PAPI_L1_ICM,3231,3575,3394,3425,3336,3546
,PAPI_L1_TCM,27241330,27241591,27241043,27241075,27240672,27241854
,PAPI_L2_DCM,1221037,779448,788528,766446,767151,695441
,PAPI_L2_ICM,2147,2401,2329,2323,2316,2445
,PAPI_L2_TCM,1223184,781849,790857,768769,769467,697886
,PAPI_L3_DCA,1221037,779448,788528,766446,767151,695441
,PAPI_L3_ICA,2147,2401,2329,2323,2316,2445
,PAPI_TOT_INS,877814309,877814292,877814316,877814292,877814325,877814315
,,,,
,,,,
1000,Time (s),0.476,0.461,0.472,0.461,0.455,0.457
,PAPI_L1_DCM,126114674,126093010,126091639,126097361,126123754,126121259
,PAPI_L1_ICM,8903,9913,11043,10387,11727,11497
,PAPI_L1_TCM,126123577,126102923,126102682,126107748,126135481,126132756
,PAPI_L2_DCM,25385040,27257962,25340487,27329729,28003342,26030064
,PAPI_L2_ICM,7805,8721,9854,9255,10495,10294
,PAPI_L2_TCM,25392845,27266683,25350341,27338984,28013837,26040358
,PAPI_L3_DCA,25385040,27257962,25340487,27329729,28003342,26030064
,PAPI_L3_ICA,7805,8721,9854,9255,10495,10294
,PAPI_TOT_INS,4038177071,4038177595,4038177574,4038177596,4038177059,4038177060
,,,,
,,,,
1400,Time (s),1.676,1.598,1.581,1.704,1.597,1.717
,PAPI_L1_DCM,345921383,345885272,345862118,345949149,345894958,345906212
,PAPI_L1_ICM,24333,20587,20350,25453,20529,22494
,PAPI_L1_TCM,345945716,345905859,345882468,345974602,345915487,345928706
,PAPI_L2_DCM,251277535,229511727,225685509,254956405,221699525,257842909
,PAPI_L2_ICM,23381,19589,19253,24304,19400,21349
,PAPI_L2_TCM,251300916,229531316,225704762,254980709,221718925,257864258
,PAPI_L3_DCA,251277535,229511727,225685509,254956405,221699525,257842909
,PAPI_L3_ICA,23381,19589,19253,24304,19400,21349
,PAPI_TOT_INS,11050701082,11050701061,11050701066,11050700599,11050701060,11050701097
,,,,
,,,,
1800,Time (s),3.691,3.701,3.685,3.703,3.709,3.700
,PAPI_L1_DCM,745745746,744306853,747452374,745820168,744135217,744451620
,PAPI_L1_ICM,36082,35494,36586,36603,35405,35150
,PAPI_L1_TCM,745781828,744342347,747488960,745856771,744170622,744486770
,PAPI_L2_DCM,587818457,587541816,581197688,583188943,583138224,582689221
,PAPI_L2_ICM,34588,34184,35419,35431,34283,34049
,PAPI_L2_TCM,587853045,587576000,581233107,583224374,583172507,582723270
,PAPI_L3_DCA,587818457,587541816,581197688,583188943,583138224,582689221
,PAPI_L3_ICA,34588,34184,35419,35431,34283,34049
,PAPI_TOT_INS,23451385601,23451385564,23451385564,23451385061,23451386145,23451385576
,,,,
,,,,
2200,Time (s),6.910,6.851,6.910,6.845,6.931,6.913
,PAPI_L1_DCM,2070895419,2068994038,2078089595,2081235935,2067555003,2068993829
,PAPI_L1_ICM,58781,48638,49112,49541,50529,50435
,PAPI_L1_TCM,2070954200,2069042676,2078138707,2081285476,2067605532,2069044264
,PAPI_L2_DCM,1047084838,1018214736,1016670287,999422250,1030136160,1018895645
,PAPI_L2_ICM,57185,47483,48000,48249,49311,49271
,PAPI_L2_TCM,1047142023,1018262219,1016718287,999470499,1030185471,1018944916
,PAPI_L3_DCA,1047084838,1018214736,1016670287,999422250,1030136160,1018895645
,PAPI_L3_ICA,57185,47483,48000,48249,49311,49271
,PAPI_TOT_INS,42776229294,42776229783,42776229779,42776229763,42776229303,42776229813
,,,,
,,,,
2600,Time (s),11.512,11.470,11.656,11.524,11.613,11.588
,PAPI_L1_DCM,4436418647,4431228174,4436153217,4431348128,4430672169,4430909228
,PAPI_L1_ICM,66235,66493,67669,77479,67192,67420
,PAPI_L1_TCM,4436484882,4431294667,4436220886,4431425607,4430739361,4430976648
,PAPI_L2_DCM,1615182689,1628558511,1660156446,1621388286,1665829753,1649183913
,PAPI_L2_ICM,64847,65200,65819,76092,65895,65561
,PAPI_L2_TCM,1615247536,1628623711,1660222265,1621464378,1665895648,1649249474
,PAPI_L3_DCA,1615182689,1628558511,1660156446,1621388286,1665829753,1649183913
,PAPI_L3_ICA,64847,65200,65819,76092,65895,65561
,PAPI_TOT_INS,70561234521,70561234497,70561235073,70561234531,70561234568,70561235051
,,,,
,,,,
3000,Time (s),17.850,17.875,17.889,17.717,17.844,17.882
,PAPI_L1_DCM,6808614541,6809101413,6809080930,6814996412,6809218972,6808996717
,PAPI_L1_ICM,114259,90517,92561,90215,107560,89468
,PAPI_L1_TCM,6808728800,6809191930,6809173491,6815086627,6809326532,6809086185
,PAPI_L2_DCM,2600540569,2559390551,2576029652,2536704386,2559587244,2573609135
,PAPI_L2_ICM,112807,88995,91001,88717,105976,88107
,PAPI_L2_TCM,2600653376,2559479546,2576120653,2536793103,2559693220,2573697242
,PAPI_L3_DCA,2600540569,2559390551,2576029652,2536704386,2559587244,2573609135
,PAPI_L3_ICA,112807,88995,91001,88717,105976,88107
,PAPI_TOT_INS,108342399605,108342399602,108342399604,108342399567,108342399596,108342399569
,,,,
,,,,
