600,Time (s),0.031,0.030,0.031,0.032,0.033,0.031
,PAPI_L1_DCM,9163199,9163538,9162941,9163449,9163986,9163449
,PAPI_L1_ICM,3833,4064,3866,3928,4091,4143
,PAPI_L1_TCM,9167032,9167602,9166807,9167377,9168077,9167592
,PAPI_L2_DCM,313953,266983,294472,411072,366982,405791
,PAPI_L2_ICM,2464,2579,2469,2473,2572,2649
,PAPI_L2_TCM,316417,269562,296941,413545,369554,408440
,PAPI_L3_DCA,313953,266983,294472,411072,366982,405791
,PAPI_L3_ICA,2464,2579,2469,2473,2572,2649
,PAPI_TOT_INS,294322478,295383510,294307400,294541500,295077130,295959002
,,,,
,,,,
1000,Time (s),0.222,0.217,0.222,0.218,0.222,0.211
,PAPI_L1_DCM,42467847,42437470,42470771,42554224,42513811,42436479
,PAPI_L1_ICM,8456,8417,9243,8905,9065,8716
,PAPI_L1_TCM,42476303,42445887,42480014,42563129,42522876,42445195
,PAPI_L2_DCM,26015393,24430717,26564350,23894468,21339139,22850701
,PAPI_L2_ICM,6958,6957,7723,7435,7448,7426
,PAPI_L2_TCM,26022351,24437674,26572073,23901903,21346587,22858127
,PAPI_L3_DCA,26015393,24430717,26564350,23894468,21339139,22850701
,PAPI_L3_ICA,6958,6957,7723,7435,7448,7426
,PAPI_TOT_INS,1352197321,1354273595,1354273114,1352225055,1352196131,1354273614
,,,,
,,,,
1400,Time (s),0.638,0.635,0.619,0.653,0.641,0.630
,PAPI_L1_DCM,116084829,116094982,116054679,116269468,116046541,116092496
,PAPI_L1_ICM,13874,13697,13584,13438,13873,13479
,PAPI_L1_TCM,116098703,116108679,116068263,116282906,116060414,116105975
,PAPI_L2_DCM,78461877,77707501,74219664,76744457,75256889,76841254
,PAPI_L2_ICM,12542,12376,12082,12147,12469,12079
,PAPI_L2_TCM,78474419,77719877,74231746,76756604,75269358,76853333
,PAPI_L3_DCA,78461877,77707501,74219664,76744457,75256889,76841254
,PAPI_L3_ICA,12542,12376,12082,12147,12469,12079
,PAPI_TOT_INS,3694935780,3694935780,3694758033,3694936294,3694936295,3694935778
,,,,
,,,,
1800,Time (s),1.335,1.342,1.355,2.070,2.113,1.520
,PAPI_L1_DCM,250776722,249902373,250085683,251092123,250439036,250975300
,PAPI_L1_ICM,19683,20180,20335,21684,22840,19744
,PAPI_L1_TCM,250796405,249922553,250106018,251113807,250461876,250995044
,PAPI_L2_DCM,168564788,163061173,162426108,101247155,134041493,148176819
,PAPI_L2_ICM,18245,18702,18795,20057,21236,18405
,PAPI_L2_TCM,168583033,163079875,162444903,101267212,134062729,148195224
,PAPI_L3_DCA,168564788,163061173,162426108,101247155,134041493,148176819
,PAPI_L3_ICA,18245,18702,18795,20057,21236,18405
,PAPI_TOT_INS,7830150237,7828073485,7830122367,7828073489,7830891339,7830547998
,,,,
,,,,
2200,Time (s),2.533,2.502,2.472,2.510,2.513,2.485
,PAPI_L1_DCM,695763013,683907272,695995259,692564034,699707628,678630110
,PAPI_L1_ICM,29754,30662,30291,30421,30092,30245
,PAPI_L1_TCM,695792767,683937934,696025550,692594455,699737720,678660355
,PAPI_L2_DCM,280993332,276879975,282676324,279693825,267166180,276856226
,PAPI_L2_ICM,28230,29065,28797,28992,28628,28857
,PAPI_L2_TCM,281021562,276909040,282705121,279722817,267194808,276885083
,PAPI_L3_DCA,280993332,276879975,282676324,279693825,267166180,276856226
,PAPI_L3_ICA,28230,29065,28797,28992,28628,28857
,PAPI_TOT_INS,14290010192,14290068772,14290017422,14290068788,14287979667,14290068235
,,,,
,,,,
2600,Time (s),4.177,5.495,4.158,4.228,4.619,4.228
,PAPI_L1_DCM,1481225621,1478856729,1459736704,1481324390,1480852807,1479461990
,PAPI_L1_ICM,44812,43903,43302,43482,43743,43814
,PAPI_L1_TCM,1481270433,1478900632,1459780006,1481367872,1480896550,1479505804
,PAPI_L2_DCM,433915244,312009762,429910035,421611501,404920377,435451930
,PAPI_L2_ICM,43133,42453,41791,41843,42144,42196
,PAPI_L2_TCM,433958377,312052215,429951826,421653344,404962521,435494126
,PAPI_L3_DCA,433915244,312009762,429910035,421611501,404920377,435451930
,PAPI_L3_ICA,43133,42453,41791,41843,42144,42196
,PAPI_TOT_INS,23552938251,23552162898,23554238030,23554238013,23554238145,23554195802
,,,,
,,,,
3000,Time (s),6.529,7.973,6.560,7.365,7.641,7.039
,PAPI_L1_DCM,2273956387,2271084862,2273623857,2271422562,2271009569,2273327119
,PAPI_L1_ICM,62601,62278,61295,62605,58836,61872
,PAPI_L1_TCM,2274018988,2271147140,2273685152,2271485167,2271068405,2273388991
,PAPI_L2_DCM,653537056,502320828,653812615,596277642,521769081,634073364
,PAPI_L2_ICM,60934,60299,59502,60785,57311,60247
,PAPI_L2_TCM,653597990,502381127,653872117,596338427,521826392,634133611
,PAPI_L3_DCA,653537056,502320828,653812615,596277642,521769081,634073364
,PAPI_L3_ICA,60934,60299,59502,60785,57311,60247
,PAPI_TOT_INS,36146350106,36144321108,36144324845,36144320974,36146399627,36146399499
,,,,
,,,,
